4.998275605729691051e+03 2.544870144777931273e+03
1.348355697996826166e+04 1.103015151901650097e+04
3.460660171779821394e+04 1.077496047522357912e+04
3.460660171779821394e+04 1.781909088590099782e+04
1.348355697996826166e+04 1.696984848098349903e+04
4.998275605729689232e+03 2.545512985522207236e+04
2.028427124746190202e+03 2.248528137423856970e+04
1.051370849898476081e+04 1.400000000000000000e+04
2.028427124746190202e+03 5.514718625761431213e+03
4.998275605729691051e+03 2.544870144777931273e+03
